#SampleID	Dataset	FullName	Acronyme	time	Site
BRG1_set_01	01	BRG1_set_01	BRG1_01	1	Bourake
BRG1_set_02	02	BRG1_set_02	BRG1_02	1	Bourake
BRG1_set_03	03	BRG1_set_03	BRG1_03	1	Bourake
BRG1_set_04	04	BRG1_set_04	BRG1_04	1	Bourake
BRG1_set_05	05	BRG1_set_05	BRG1_05	1	Bourake
BRG2_set_01	01	BRG2_set_01	BRG2_01	1	Bourake
BRG2_set_02	02	BRG2_set_02	BRG2_02	1	Bourake
BRG2_set_03	03	BRG2_set_03	BRG2_03	1	Bourake
BRG2_set_04	04	BRG2_set_04	BRG2_04	1	Bourake
BRG2_set_05	05	BRG2_set_05	BRG2_05	1	Bourake
BRG3_set_01	01	BRG3_set_01	BRG3_01	1	Bourake
BRG3_set_02	02	BRG3_set_02	BRG3_02	1	Bourake
BRG3_set_03	03	BRG3_set_03	BRG3_03	1	Bourake
BRG3_set_04	04	BRG3_set_04	BRG3_04	1	Bourake
BRG3_set_05	05	BRG3_set_05	BRG3_05	1	Bourake
